state,phase,row,col,bbox_left,bbox_top,bbox_right,bbox_bottom,bbox_width,bbox_height,center_offset_px,bottom_padding_px,edge_alpha_pixels,near_edge_alpha_pixels,has_foreground
idle,after,0,0,14,7,51,62,37,55,0.5,2,0,0,True
idle,after,0,1,14,7,51,62,37,55,0.5,2,0,0,True
idle,after,0,2,13,7,51,62,38,55,0.0,2,0,0,True
idle,after,0,3,13,7,50,62,37,55,-0.5,2,0,0,True
idle,after,0,4,13,7,51,62,38,55,0.0,2,0,0,True
idle,after,0,5,14,7,51,62,37,55,0.5,2,0,0,True
idle,after,1,0,14,2,49,62,35,60,-0.5,2,0,0,True
idle,after,1,1,14,2,49,62,35,60,-0.5,2,0,0,True
idle,after,1,2,14,2,49,62,35,60,-0.5,2,0,0,True
idle,after,1,3,14,2,49,62,35,60,-0.5,2,0,0,True
idle,after,1,4,14,2,49,62,35,60,-0.5,2,0,0,True
idle,after,1,5,14,2,49,62,35,60,-0.5,2,0,0,True
idle,after,2,0,18,2,46,62,28,60,0.0,2,0,0,True
idle,after,2,1,18,2,46,62,28,60,0.0,2,0,0,True
idle,after,2,2,18,2,46,62,28,60,0.0,2,0,0,True
idle,after,2,3,18,2,46,62,28,60,0.0,2,0,0,True
idle,after,2,4,18,2,46,62,28,60,0.0,2,0,0,True
idle,after,2,5,18,2,45,62,27,60,-0.5,2,0,0,True
idle,after,3,0,20,16,45,62,25,46,0.5,2,0,0,True
idle,after,3,1,20,16,45,62,25,46,0.5,2,0,0,True
idle,after,3,2,20,16,45,62,25,46,0.5,2,0,0,True
idle,after,3,3,20,16,44,62,24,46,0.0,2,0,0,True
idle,after,3,4,20,16,45,62,25,46,0.5,2,0,0,True
idle,after,3,5,20,16,45,62,25,46,0.5,2,0,0,True
run,after,0,0,13,7,51,62,38,55,0.0,2,0,0,True
run,after,0,1,14,7,51,62,37,55,0.5,2,0,0,True
run,after,0,2,14,8,50,62,36,54,0.0,2,0,0,True
run,after,0,3,14,7,50,62,36,55,0.0,2,0,0,True
run,after,0,4,14,7,51,62,37,55,0.5,2,0,0,True
run,after,0,5,14,7,50,62,36,55,0.0,2,0,0,True
run,after,1,0,14,10,50,62,36,52,0.0,2,0,0,True
run,after,1,1,14,10,51,62,37,52,0.5,2,0,0,True
run,after,1,2,14,10,49,62,35,52,-0.5,2,0,0,True
run,after,1,3,14,2,49,62,35,60,-0.5,2,0,0,True
run,after,1,4,14,2,50,62,36,60,0.0,2,0,0,True
run,after,1,5,14,9,50,62,36,53,0.0,2,0,0,True
run,after,2,0,12,5,53,62,41,57,0.5,2,0,0,True
run,after,2,1,10,5,54,62,44,57,0.0,2,0,0,True
run,after,2,2,12,5,52,62,40,57,0.0,2,0,0,True
run,after,2,3,12,5,53,62,41,57,0.5,2,0,0,True
run,after,2,4,11,5,53,62,42,57,0.0,2,0,0,True
run,after,2,5,12,5,53,62,41,57,0.5,2,0,0,True
run,after,3,0,12,16,51,62,39,46,-0.5,2,0,0,True
run,after,3,1,12,16,52,62,40,46,0.0,2,0,0,True
run,after,3,2,13,16,51,62,38,46,0.0,2,0,0,True
run,after,3,3,12,15,52,62,40,47,0.0,2,0,0,True
run,after,3,4,13,16,51,62,38,46,0.0,2,0,0,True
run,after,3,5,12,15,51,62,39,47,-0.5,2,0,0,True
attack,after,0,0,11,21,53,62,42,41,0.0,2,0,0,True
attack,after,0,1,14,15,50,62,36,47,0.0,2,0,0,True
attack,after,0,2,20,4,44,62,24,58,0.0,2,0,0,True
attack,after,0,3,13,30,51,62,38,32,0.0,2,0,0,True
attack,after,0,4,11,24,53,62,42,38,0.0,2,0,0,True
attack,after,0,5,12,24,52,62,40,38,0.0,2,0,0,True
attack,after,1,0,12,2,51,62,39,60,-0.5,2,0,0,True
attack,after,1,1,18,2,47,62,29,60,0.5,2,0,0,True
attack,after,1,2,18,2,46,62,28,60,0.0,2,0,0,True
attack,after,1,3,10,2,55,62,45,60,0.5,2,0,0,True
attack,after,1,4,8,2,55,62,47,60,-0.5,2,0,0,True
attack,after,1,5,13,2,51,62,38,60,0.0,2,0,0,True
attack,after,2,0,14,6,50,62,36,56,0.0,2,0,0,True
attack,after,2,1,16,6,48,62,32,56,0.0,2,0,0,True
attack,after,2,2,20,5,45,62,25,57,0.5,2,0,0,True
attack,after,2,3,8,6,57,62,49,56,0.5,2,0,0,True
attack,after,2,4,10,6,55,62,45,56,0.5,2,0,0,True
attack,after,2,5,17,5,47,62,30,57,0.0,2,0,0,True
attack,after,3,0,17,19,47,62,30,43,0.0,2,0,0,True
attack,after,3,1,20,15,44,62,24,47,0.0,2,0,0,True
attack,after,3,2,21,14,43,62,22,48,0.0,2,0,0,True
attack,after,3,3,8,25,57,62,49,37,0.5,2,0,0,True
attack,after,3,4,10,20,55,62,45,42,0.5,2,0,0,True
attack,after,3,5,18,20,47,62,29,42,0.5,2,0,0,True
hurt,after,0,0,8,9,56,62,48,53,0.0,2,0,0,True
hurt,after,0,1,10,11,53,62,43,51,-0.5,2,0,0,True
hurt,after,0,2,6,12,57,62,51,50,-0.5,2,0,0,True
hurt,after,0,3,9,17,55,62,46,45,0.0,2,0,0,True
hurt,after,0,4,12,12,53,62,41,50,0.5,2,0,0,True
hurt,after,0,5,12,11,53,62,41,51,0.5,2,0,0,True
hurt,after,1,0,12,2,53,62,41,60,0.5,2,0,0,True
hurt,after,1,1,13,2,51,62,38,60,0.0,2,0,0,True
hurt,after,1,2,6,2,58,62,52,60,0.0,2,0,0,True
hurt,after,1,3,13,2,51,62,38,60,0.0,2,0,0,True
hurt,after,1,4,12,2,52,62,40,60,0.0,2,0,0,True
hurt,after,1,5,12,2,52,62,40,60,0.0,2,0,0,True
hurt,after,2,0,16,2,48,62,32,60,0.0,2,0,0,True
hurt,after,2,1,15,2,49,62,34,60,0.0,2,0,0,True
hurt,after,2,2,12,2,51,62,39,60,-0.5,2,0,0,True
hurt,after,2,3,12,9,51,62,39,53,-0.5,2,0,0,True
hurt,after,2,4,16,2,49,62,33,60,0.5,2,0,0,True
hurt,after,2,5,17,2,47,62,30,60,0.0,2,0,0,True
hurt,after,3,0,18,16,45,62,27,46,-0.5,2,0,0,True
hurt,after,3,1,16,16,48,62,32,46,0.0,2,0,0,True
hurt,after,3,2,13,16,51,62,38,46,0.0,2,0,0,True
hurt,after,3,3,13,17,51,62,38,45,0.0,2,0,0,True
hurt,after,3,4,16,16,48,62,32,46,0.0,2,0,0,True
hurt,after,3,5,19,16,45,62,26,46,0.0,2,0,0,True
