state,phase,row,col,bbox_left,bbox_top,bbox_right,bbox_bottom,bbox_width,bbox_height,center_offset_px,bottom_padding_px,edge_alpha_pixels,near_edge_alpha_pixels,has_foreground
idle,before,0,0,10,5,49,64,39,59,-2.5,0,14,23,True
idle,before,0,1,3,5,64,64,61,59,1.5,0,28,52,True
idle,before,0,2,0,5,64,64,64,59,0.0,0,47,85,True
idle,before,0,3,0,5,64,64,64,59,0.0,0,92,183,True
idle,before,0,4,0,5,64,64,64,59,0.0,0,115,222,True
idle,before,0,5,0,11,10,64,10,53,-27.0,0,54,105,True
idle,before,1,0,21,0,58,64,37,64,7.5,0,30,55,True
idle,before,1,1,14,0,51,64,37,64,0.5,0,30,55,True
idle,before,1,2,6,0,64,64,58,64,3.0,0,43,69,True
idle,before,1,3,0,0,64,64,64,64,0.0,0,112,218,True
idle,before,1,4,0,0,64,64,64,64,0.0,0,122,237,True
idle,before,1,5,0,0,19,64,19,64,-22.5,0,63,121,True
idle,before,2,0,16,0,46,64,30,64,-1.0,0,20,38,True
idle,before,2,1,9,0,39,64,30,64,-8.0,0,20,38,True
idle,before,2,2,1,0,64,64,63,64,0.5,0,34,74,True
idle,before,2,3,0,0,64,64,64,64,0.0,0,85,143,True
idle,before,2,4,0,0,64,64,64,64,0.0,0,121,239,True
idle,before,2,5,0,0,7,57,7,57,-28.5,7,54,89,True
idle,before,3,0,25,0,52,49,27,49,6.5,15,6,17,True
idle,before,3,1,17,0,44,49,27,49,-1.5,15,6,17,True
idle,before,3,2,10,0,37,49,27,49,-8.5,15,6,17,True
idle,before,3,3,3,0,64,49,61,49,1.5,15,56,104,True
idle,before,3,4,0,0,64,49,64,49,0.0,15,100,210,True
idle,before,3,5,0,1,13,49,13,48,-25.5,15,30,49,True
run,before,0,0,11,6,51,64,40,58,-1.0,0,5,12,True
run,before,0,1,10,6,49,64,39,58,-2.5,0,3,7,True
run,before,0,2,10,6,48,63,38,57,-3.0,1,0,4,True
run,before,0,3,9,6,47,64,38,58,-4.0,0,7,15,True
run,before,0,4,9,6,48,64,39,58,-3.5,0,7,14,True
run,before,0,5,8,6,46,64,38,58,-5.0,0,3,10,True
run,before,1,0,18,7,56,62,38,55,5.0,2,0,0,True
run,before,1,1,15,7,54,62,39,55,2.5,2,0,0,True
run,before,1,2,15,7,52,62,37,55,1.5,2,0,0,True
run,before,1,3,15,0,52,63,37,63,1.5,1,3,8,True
run,before,1,4,13,0,51,63,38,63,0.0,1,4,7,True
run,before,1,5,13,7,51,63,38,56,0.0,1,0,4,True
run,before,2,0,12,4,55,64,43,60,1.5,0,6,9,True
run,before,2,1,9,4,55,64,46,60,0.0,0,6,10,True
run,before,2,2,10,4,52,64,42,60,-1.0,0,7,12,True
run,before,2,3,7,4,50,64,43,60,-3.5,0,6,9,True
run,before,2,4,6,4,50,64,44,60,-4.0,0,6,9,True
run,before,2,5,7,4,50,64,43,60,-3.5,0,5,8,True
run,before,3,0,11,0,52,48,41,48,-0.5,16,8,16,True
run,before,3,1,11,0,53,48,42,48,0.0,16,8,16,True
run,before,3,2,11,0,51,48,40,48,-1.0,16,7,15,True
run,before,3,3,8,0,50,49,42,49,-3.0,15,8,16,True
run,before,3,4,8,0,48,48,40,48,-4.0,16,7,15,True
run,before,3,5,7,0,48,49,41,49,-4.5,15,7,15,True
attack,before,0,0,12,20,57,64,45,44,2.5,0,18,39,True
attack,before,0,1,13,14,51,64,38,50,0.0,0,19,41,True
attack,before,0,2,17,2,43,64,26,62,-2.0,0,21,43,True
attack,before,0,3,2,30,42,64,40,34,-10.0,0,29,59,True
attack,before,0,4,6,23,64,64,58,41,3.0,0,37,73,True
attack,before,0,5,0,24,41,64,41,40,-11.5,0,31,65,True
attack,before,1,0,20,0,62,64,42,64,9.0,0,24,46,True
attack,before,1,1,25,0,56,64,31,64,8.5,0,28,53,True
attack,before,1,2,16,0,64,64,48,64,8.0,0,30,57,True
attack,before,1,3,0,0,45,64,45,64,-9.5,0,73,140,True
attack,before,1,4,2,0,52,64,50,64,-5.0,0,41,95,True
attack,before,1,5,9,0,49,64,40,64,-3.0,0,28,54,True
attack,before,2,0,12,0,50,60,38,60,-1.0,4,11,27,True
attack,before,2,1,17,0,51,60,34,60,2.0,4,11,26,True
attack,before,2,2,15,0,64,61,49,61,7.5,3,16,36,True
attack,before,2,3,0,0,48,60,48,60,-8.0,4,49,102,True
attack,before,2,4,7,0,55,60,48,60,-1.0,4,13,29,True
attack,before,2,5,6,0,38,61,32,61,-10.0,3,12,28,True
attack,before,3,0,21,5,53,51,32,46,5.0,13,0,0,True
attack,before,3,1,20,2,46,52,26,50,1.0,12,0,0,True
attack,before,3,2,15,1,39,52,24,51,-5.0,12,0,5,True
attack,before,3,3,0,13,64,52,64,39,0.0,12,23,46,True
attack,before,3,4,0,7,41,52,41,45,-11.5,12,21,42,True
attack,before,3,5,12,7,43,52,31,45,-4.5,12,0,0,True
hurt,before,0,0,12,7,63,64,51,57,5.5,0,14,27,True
hurt,before,0,1,12,10,58,64,46,54,3.0,0,14,26,True
hurt,before,0,2,11,11,64,64,53,53,5.5,0,22,43,True
hurt,before,0,3,0,16,64,64,64,48,0.0,0,33,62,True
hurt,before,0,4,0,11,54,64,54,53,-5.0,0,21,36,True
hurt,before,0,5,1,10,45,64,44,54,-9.0,0,17,40,True
hurt,before,1,0,22,0,64,64,42,64,11.0,0,49,99,True
hurt,before,1,1,0,0,63,64,63,64,-0.5,0,43,85,True
hurt,before,1,2,12,0,64,64,52,64,6.0,0,32,66,True
hurt,before,1,3,0,0,57,64,57,64,-3.5,0,40,82,True
hurt,before,1,4,17,0,60,64,43,64,6.5,0,34,66,True
hurt,before,1,5,11,0,54,64,43,64,0.5,0,32,62,True
hurt,before,2,0,18,0,52,64,34,64,3.0,0,28,34,True
hurt,before,2,1,15,0,51,64,36,64,1.0,0,24,30,True
hurt,before,2,2,11,0,53,64,42,64,0.0,0,18,20,True
hurt,before,2,3,10,0,52,57,42,57,-1.0,7,11,11,True
hurt,before,2,4,14,0,49,64,35,64,-0.5,0,21,25,True
hurt,before,2,5,8,0,40,64,32,64,-8.0,0,22,28,True
hurt,before,3,0,26,0,55,49,29,49,8.5,15,14,28,True
hurt,before,3,1,22,0,56,49,34,49,7.0,15,15,30,True
hurt,before,3,2,15,0,56,49,41,49,3.5,15,14,30,True
hurt,before,3,3,18,1,59,49,41,48,6.5,15,0,3,True
hurt,before,3,4,20,0,54,49,34,49,5.0,15,8,16,True
hurt,before,3,5,17,0,45,49,28,49,-1.0,15,13,27,True
